Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_001952875.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CN1	Complete Genome	5435802	3	3	57.5	97.77	0.5	Illumina; PacBio	SAMN04889855		Homo sapiens		USA: New York		PRJNA319426	Klebsiella pneumoniae Whole Genome Sequencing and Assembly	2017-01-17
GCF_001952895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	NY9	Complete Genome	5880908	7	7	57	98.3	0.32	Illumina; PacBio	SAMN04889856		Homo sapiens		USA: New York		PRJNA319426	Klebsiella pneumoniae Whole Genome Sequencing and Assembly	2017-01-17
GCF_001952915.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CR14	Complete Genome	6063895	6	6	57	98.13	0.35	Illumina; PacBio	SAMN04889857		Homo sapiens		USA: New York		PRJNA319426	Klebsiella pneumoniae Whole Genome Sequencing and Assembly	2017-01-17
GCF_001956965.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	825795-1	Complete Genome	5869161	5	5	56.5	98.37	1.21	Illumina; PacBio	SAMN05412796	anal swab	Homo sapiens	colonization	Germany: Goettingen	2014-05-14	PRJNA329409	Klebsiella pneumoniae Genome sequencing and assembly	2017-01-19
GCF_002055765.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0117	Complete Genome	5838292	6	6	57	97.63	0.92	PacBio RSII	SAMN04014958	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-03-21
GCF_002055765.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0117	Complete Genome	5838292	6	6	57	97.63	0.92	PacBio RSII	SAMN04014958	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-03-21
GCF_002055765.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0117	Complete Genome	5838292	6	6	57	97.63	0.92	PacBio RSII	SAMN04014958	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-03-21
GCF_002055855.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0068	Complete Genome	5884778	4	4	56.5	98.56	1.53	PacBio RSII	SAMN04014909	missing	missing	missing	missing	missing	PRJNA292904	Gram Negative Carbapenemase Detection Genome sequencing and assembly	2017-03-21
GCF_002055855.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0068	Complete Genome	5884778	4	4	56.5	98.56	1.53	PacBio RSII	SAMN04014909	missing	missing	missing	missing	missing	PRJNA292904	FDA-CDC Antimicrobial Resistance Bank	2017-03-21
GCF_002055855.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0068	Complete Genome	5884778	4	4	56.5	98.56	1.53	PacBio RSII	SAMN04014909	missing	missing	missing	missing	missing	PRJNA292904	CDC DHQP Seq	2017-03-21
GCF_002056385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0115	Complete Genome	5666107	5	5	57	98.74	0.19	PacBio RSII	SAMN04014956	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-03-21
GCF_002056385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0115	Complete Genome	5666107	5	5	57	98.74	0.19	PacBio RSII	SAMN04014956	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-03-21
GCF_002056385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0115	Complete Genome	5666107	5	5	57	98.74	0.19	PacBio RSII	SAMN04014956	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-03-21
GCF_002056475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0098	Complete Genome	5708390	5	5	57	99.07	0.19	PacBio RSII	SAMN04014939	missing	missing	missing	missing	missing	PRJNA292904	Gram Negative Carbapenemase Detection Genome sequencing and assembly	2017-03-21
GCF_002056475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0098	Complete Genome	5708390	5	5	57	99.07	0.19	PacBio RSII	SAMN04014939	missing	missing	missing	missing	missing	PRJNA292904	FDA-CDC Antimicrobial Resistance Bank	2017-03-21
GCF_002056475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0098	Complete Genome	5708390	5	5	57	99.07	0.19	PacBio RSII	SAMN04014939	missing	missing	missing	missing	missing	PRJNA292904	CDC DHQP Seq	2017-03-21
GCF_002113865.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	K66-45	Complete Genome	6081126	5	5	56.5	99.07	1.2	PacBio	SAMN04158282	urine	Homo sapiens	missing	Norway	2010	PRJNA378711	Klebsiella pneumoniae strain:K66-45 Genome sequencing and assembly	2017-04-27
GCF_002116885.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	kp757	Complete Genome	5264852	1	1	57.5	98.17	0.26	PacBio	SAMN04621179	missing	Homo sapiens	pneumonia	USA	2015	PRJNA317547	Klebsiella pneumoniae Genome sequencing and assembly	2017-05-02
GCF_002156725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	BK13043	Complete Genome	5896654	4	4	57	98.78	0.21	PacBio	SAMN06701573	unknown	Homo sapiens	Unknown	USA: New York, New York City	2004	PRJNA376414	Klebsiella Genome sequencing and assembly	2017-05-23
GCF_002156745.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN1482	Complete Genome	5965284	6	6	56.5	98.81	0.71	PacBio	SAMN06438459	respiratory	Homo sapiens	Klebsiella Infections	USA: Houston	2014-06-11	PRJNA376414	Klebsiella Genome sequencing and assembly	2017-05-23
GCF_002156785.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN528	Complete Genome	5973075	4	4	56.5	96.93	1.55	PacBio	SAMN06437491	respiratory	Homo sapiens	Klebsiella Infections	USA: Houston	2012-12-02	PRJNA376414	Klebsiella Genome sequencing and assembly	2017-05-23
GCF_002164695.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP020097	Complete Genome	5714892	5	5	57	98.98	0.19	Illumina HiSeq; Oxford Nanopore MiniION	SAMN06909168		Homo sapiens		China: Sichuan	2017-01	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2022-04-04
GCF_002164835.4	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP2	Complete Genome	5670650	4	4	57.5	98.52	0.38	Illumina HiSeq; MinION	SAMN06909160		Homo sapiens		China: Yibin, Sichuan	2016-08	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2019-08-16
GCF_002164855.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SCKP020003	Complete Genome	5610557	5	5	57.5	98.29	0.21	Illumina HiSeq; MinION	SAMN06909161		Homo sapiens		China: Yibin, Sichuan	2016-09	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2018-08-27
GCF_002180075.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0047	Complete Genome	5774316	5	5	57	99.07	0.19	PacBio RSII	SAMN04014888	missing	missing	missing	missing	missing	PRJNA292904	Gram Negative Carbapenemase Detection Genome sequencing and assembly	2017-06-08
GCF_002180075.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0047	Complete Genome	5774316	5	5	57	99.07	0.19	PacBio RSII	SAMN04014888	missing	missing	missing	missing	missing	PRJNA292904	FDA-CDC Antimicrobial Resistance Bank	2017-06-08
GCF_002180075.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0047	Complete Genome	5774316	5	5	57	99.07	0.19	PacBio RSII	SAMN04014888	missing	missing	missing	missing	missing	PRJNA292904	CDC DHQP Seq	2017-06-08
GCF_002180155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0112	Complete Genome	5859680	6	6	57	99.04	0.19	PacBio RSII	SAMN04014953	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-08
GCF_002180155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0112	Complete Genome	5859680	6	6	57	99.04	0.19	PacBio RSII	SAMN04014953	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-08
GCF_002180155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0112	Complete Genome	5859680	6	6	57	99.04	0.19	PacBio RSII	SAMN04014953	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-08
GCF_002180175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0146	Complete Genome	5746129	4	4	57	99.07	0.72	PacBio RSII	SAMN04014987	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-08
GCF_002180175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0146	Complete Genome	5746129	4	4	57	99.07	0.72	PacBio RSII	SAMN04014987	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-08
GCF_002180175.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0146	Complete Genome	5746129	4	4	57	99.07	0.72	PacBio RSII	SAMN04014987	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-08
GCF_002180255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0158	Complete Genome	5806817	5	5	56.5	98.05	1.86	PacBio RSII	SAMN04014999	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-08
GCF_002180255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0158	Complete Genome	5806817	5	5	56.5	98.05	1.86	PacBio RSII	SAMN04014999	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-08
GCF_002180255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0158	Complete Genome	5806817	5	5	56.5	98.05	1.86	PacBio RSII	SAMN04014999	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-08
GCF_002180295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0129	Complete Genome	5835823	6	6	57	98.89	0.47	PacBio RSII	SAMN04014970	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-08
GCF_002180295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0129	Complete Genome	5835823	6	6	57	98.89	0.47	PacBio RSII	SAMN04014970	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-08
GCF_002180295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0129	Complete Genome	5835823	6	6	57	98.89	0.47	PacBio RSII	SAMN04014970	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-08
GCF_002180315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0143	Complete Genome	5989257	5	5	57	98.91	1.04	PacBio RSII	SAMN04014984	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-08
GCF_002180315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0143	Complete Genome	5989257	5	5	57	98.91	1.04	PacBio RSII	SAMN04014984	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-08
GCF_002180315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0143	Complete Genome	5989257	5	5	57	98.91	1.04	PacBio RSII	SAMN04014984	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-08
GCF_002192315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0126	Complete Genome	5598174	4	4	57.5	98.59	0.86	PacBio RSII	SAMN04014967	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-13
GCF_002192315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0126	Complete Genome	5598174	4	4	57.5	98.59	0.86	PacBio RSII	SAMN04014967	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-13
GCF_002192315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0126	Complete Genome	5598174	4	4	57.5	98.59	0.86	PacBio RSII	SAMN04014967	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-13
GCF_002192335.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0113	Complete Genome	5849839	6	6	57	99.04	0.19	PacBio RSII	SAMN04014954	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-13
GCF_002192335.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0113	Complete Genome	5849839	6	6	57	99.04	0.19	PacBio RSII	SAMN04014954	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-13
GCF_002192335.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0113	Complete Genome	5849839	6	6	57	99.04	0.19	PacBio RSII	SAMN04014954	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-13
GCF_002192375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0138	Complete Genome	5708112	5	5	57	98.29	1.45	PacBio RSII	SAMN04014979	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-13
GCF_002192375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0138	Complete Genome	5708112	5	5	57	98.29	1.45	PacBio RSII	SAMN04014979	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-13
GCF_002192375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0138	Complete Genome	5708112	5	5	57	98.29	1.45	PacBio RSII	SAMN04014979	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-13
GCF_002197225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0120	Complete Genome	5995730	5	5	57	98.92	0.69	PacBio RSII	SAMN04014961	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-16
GCF_002197225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0120	Complete Genome	5995730	5	5	57	98.92	0.69	PacBio RSII	SAMN04014961	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-16
GCF_002197225.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0120	Complete Genome	5995730	5	5	57	98.92	0.69	PacBio RSII	SAMN04014961	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-16
GCF_002197505.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0125	Complete Genome	5726558	6	6	57	98.79	0.19	PacBio RSII	SAMN04014966	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-16
GCF_002197505.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0125	Complete Genome	5726558	6	6	57	98.79	0.19	PacBio RSII	SAMN04014966	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-16
GCF_002197505.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0125	Complete Genome	5726558	6	6	57	98.79	0.19	PacBio RSII	SAMN04014966	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-16
GCF_002202195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0139	Complete Genome	6054276	5	5	56.5	98.76	1.99	PacBio RSII	SAMN04014980	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-20
GCF_002202195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0139	Complete Genome	6054276	5	5	56.5	98.76	1.99	PacBio RSII	SAMN04014980	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-20
GCF_002202195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0139	Complete Genome	6054276	5	5	56.5	98.76	1.99	PacBio RSII	SAMN04014980	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-20
GCF_002202215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0145	Complete Genome	5656270	5	5	57	98.55	1.47	PacBio RSII	SAMN04014986	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-20
GCF_002202215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0145	Complete Genome	5656270	5	5	57	98.55	1.47	PacBio RSII	SAMN04014986	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-20
GCF_002202215.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0145	Complete Genome	5656270	5	5	57	98.55	1.47	PacBio RSII	SAMN04014986	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-20
GCF_002202235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0152	Complete Genome	5782129	6	6	57	98.55	1.47	PacBio RSII	SAMN04014993	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-20
GCF_002202235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0152	Complete Genome	5782129	6	6	57	98.55	1.47	PacBio RSII	SAMN04014993	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-20
GCF_002202235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0152	Complete Genome	5782129	6	6	57	98.55	1.47	PacBio RSII	SAMN04014993	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-20
GCF_002202255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0148	Complete Genome	5798614	5	5	57	98.81	1.2	PacBio RSII	SAMN04014989	missing	missing	missing	missing	missing	PRJNA292902	Enterobacteriaceae Carbapenemase Diversity genome sequencing and assembly	2017-06-20
GCF_002202255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0148	Complete Genome	5798614	5	5	57	98.81	1.2	PacBio RSII	SAMN04014989	missing	missing	missing	missing	missing	PRJNA292902	FDA-CDC Antimicrobial Resistance Bank	2017-06-20
GCF_002202255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0148	Complete Genome	5798614	5	5	57	98.81	1.2	PacBio RSII	SAMN04014989	missing	missing	missing	missing	missing	PRJNA292902	CDC DHQP Seq	2017-06-20
GCF_002202275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0107	Complete Genome	5658318	3	3	57	98.39	0.39	PacBio RSII	SAMN04014948	missing	missing	missing	missing	missing	PRJNA292904	Gram Negative Carbapenemase Detection Genome sequencing and assembly	2017-06-20
GCF_002202275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0107	Complete Genome	5658318	3	3	57	98.39	0.39	PacBio RSII	SAMN04014948	missing	missing	missing	missing	missing	PRJNA292904	FDA-CDC Antimicrobial Resistance Bank	2017-06-20
GCF_002202275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR_0107	Complete Genome	5658318	3	3	57	98.39	0.39	PacBio RSII	SAMN04014948	missing	missing	missing	missing	missing	PRJNA292904	CDC DHQP Seq	2017-06-20
GCF_002209405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	19051	Complete Genome	5332976	1	1	57.5	98.56	0.61	PacBio	SAMN07187263	urine	Homo sapiens		missing	missing	PRJNA388820	Klebsiella pneumoniae Genome sequencing and assembly	2017-06-27
GCF_002211905.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	DHQP1605752_NV	Complete Genome	5816577	4	4	57	98.21	1.83	PacBio	SAMN07265011	wound	Homo sapiens	Na	USA: Nevada	2016-08-19	PRJNA391323	Klebsiella pneumoniae strain:DHQP1605752_NV Phenotype or Genotype	2017-06-30
GCF_002243445.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	BIC-1	Complete Genome	5621950	4	4	57	99.07	0.19	PacBio	SAMN07419044		Homo sapiens		France: Kremlin-Bicetre	2009-09-01	PRJNA396009	Klebsiella pneumoniae strain:BIC-1 Genome sequencing	2017-08-08
GCF_002257765.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP2080	Complete Genome	5624884	4	4	57.5	98.42	0.38	Illumina HiSeq; Oxford Nanopore MiniION	SAMN06671967		Homo sapiens		China: Sichuan, Chengdu	2016-06	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2019-02-28
GCF_002257935.4	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP13F2	Complete Genome	5749442	3	3	57	98.77	1.08	Illumina HiSeq; MinION	SAMN06671956		Homo sapiens		China: Sichuan, Chengdu	2015-07	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2019-09-11
GCF_002258005.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP085104	Complete Genome	5427205	3	3	57.5	99.07	1.17	Illumina HiSeq; Oxford Nanopore MiniION	SAMN06671974		Homo sapiens		China: Sichuan, Chengdu	2015-06	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2022-04-04
GCF_002258015.3	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	085085	Complete Genome	5501595	4	4	57.5	98.29	0.38	Illumina NovaSeq; Oxford Nanopore MinION	SAMN06671973		Homo sapiens		China: Sichuan, Chengdu	2015-04	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2025-07-28
GCF_002258055.3	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP7E2	Complete Genome	5848375	6	6	57	98.85	0.56	Illumina HiSeq; MinION	SAMN06671971		Homo sapiens		China: Sichuan, Chengdu	2015-04	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2019-09-06
GCF_002258105.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP095005	Complete Genome	5632612	4	4	57	98.2	1.15	Illumina HiSeq; Oxford Nanopore MiniION	SAMN06671966		Homo sapiens		China: Sichuan, Chengdu	2016-06	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2022-04-04
GCF_002258145.4	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP8F4	Complete Genome	5501020	4	4	57.5	98.29	0.38	Illumina HiSeq; MinION	SAMN06671960		Homo sapiens		China: Sichuan, Chengdu	2015-04	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2019-08-22
GCF_002258175.2	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	WCHKP085031	Complete Genome	5763518	5	5	56.5	98.55	0.89	Illumina HiSeq; Oxford Nanopore MiniION	SAMN06671955		Homo sapiens		China: Sichuan, Chengdu	2014-11	PRJNA353728	The Genome sequencing and assembly of Klebsiella spp.	2022-04-04
GCF_002269295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	911021	Complete Genome	5456357	1	1	57.5	99.07	0.21	PacBio	SAMN07508215	urine	Homo sapiens	stroke	China: Chongqing	2014-09	PRJNA398333	Klebsiella pneumoniae Genome sequencing and assembly	2017-08-24
GCF_002278055.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	721005	Complete Genome	5475860	1	1	57.5	98.51	0.21	PacBio	SAMN07484315	urine	Homo sapiens	Paralysis	China: Ningbo	2013	PRJNA397713	Klebsiella pneumoniae Genome sequencing and assembly	2017-08-30
GCF_002300675.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	VBA2172	Complete Genome	5617024	7	7	57	98.18	0.69	IonTorrent; Oxford Nanopore MiniION	SAMN07572687	blood	Homo sapiens	Bacteremia	India	2016	PRJNA400676	Klebsiella pneumoniae Genome sequencing and assembly	2019-02-28
GCF_002587165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_444	Complete Genome	5880984	5	5	57	98.81	0.38	PacBio; Illumina	SAMN07312488	wound	Homo sapiens	Missing	Canada:BC	2013-07	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2017-10-18
GCF_002587165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_444	Complete Genome	5880984	5	5	57	98.81	0.38	PacBio; Illumina	SAMN07312488	wound	Homo sapiens	Missing	Canada:BC	2013-07	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2017-10-18
